language,wals_name,wals_code,genus,family,macroarea,SV_raw,SV_switch,SV_source,OV_raw,OV_switch,OV_source,PP_raw,PP_switch,PP_source,Adj_raw,Adj_switch,Adj_source,Rel_raw,Rel_switch,Rel_source,Case_raw,Case_switch,Case_source,lang_id
Danish,Danish,dsh,Germanic,Indo-European,Eurasia,1 SV,0,wals,2 VO,1,wals,2 Prepositions,1,wals,1 Adjective-Noun,0,wals,1 Noun-Relative clause,1,wals,1 Case suffixes,0,wals,0121010
Swedish,Swedish,swe,Germanic,Indo-European,Eurasia,1 SV,0,wals,2 VO,1,wals,2 Prepositions,1,wals,1 Adjective-Noun,0,wals,1 Noun-Relative clause,1,wals,9 No case affixes or adpositional clitics,0,genus,0121010
Italian,Italian,ita,Romance,Indo-European,Eurasia,3 No dominant order,0,genus,2 VO,1,wals,2 Prepositions,1,wals,2 Noun-Adjective,1,wals,1 Noun-Relative clause,1,wals,9 No case affixes or adpositional clitics,0,genus,0121110
Chinese,Mandarin,mnd,Chinese,Sino-Tibetan,Eurasia,1 SV,0,wals,2 VO,1,wals,4 No dominant order,0,family,1 Adjective-Noun,0,wals,2 Relative clause-Noun,0,wals,9 No case affixes or adpositional clitics,0,family,0120000
Japanese,Japanese,jpn,Japanese,Japanese,Eurasia,1 SV,0,wals,1 OV,0,wals,1 Postpositions,0,wals,1 Adjective-Noun,0,wals,2 Relative clause-Noun,0,wals,6 Postpositional clitics,0,macroarea,0020000
Indonesian,Indonesian,ind,Malayo-Sumbawan,Austronesian,Papunesia,1 SV,0,wals,2 VO,1,wals,2 Prepositions,1,wals,2 Noun-Adjective,1,wals,1 Noun-Relative clause,1,wals,9 No case affixes or adpositional clitics,1,family,0121111
Hindi,Hindi,hin,Indic,Indo-European,Eurasia,1 SV,0,wals,1 OV,0,wals,1 Postpositions,0,wals,1 Adjective-Noun,0,wals,4 Correlative,0,genus,1 Case suffixes,0,wals,0020000
Urdu,Urdu,urd,Indic,Indo-European,Eurasia,1 SV,0,wals,1 OV,0,wals,1 Postpositions,0,wals,1 Adjective-Noun,0,wals,4 Correlative,0,genus,9 No case affixes or adpositional clitics,0,genus,0020000
English,English,eng,Germanic,Indo-European,Eurasia,1 SV,0,wals,2 VO,1,wals,2 Prepositions,1,wals,1 Adjective-Noun,0,wals,1 Noun-Relative clause,1,wals,9 No case affixes or adpositional clitics,0,genus,0121010
Dutch,Dutch,dut,Germanic,Indo-European,Eurasia,1 SV,0,wals,3 No dominant order,1,genus,2 Prepositions,1,wals,1 Adjective-Noun,0,wals,1 Noun-Relative clause,1,wals,9 No case affixes or adpositional clitics,0,genus,0121010
Turkish,Turkish,tur,Turkic,Altaic,Eurasia,1 SV,0,wals,1 OV,0,wals,1 Postpositions,0,wals,1 Adjective-Noun,0,wals,2 Relative clause-Noun,0,wals,1 Case suffixes,0,wals,0020000
Swahili,Swahili,swa,Bantoid,Niger-Congo,Africa,1 SV,0,wals,2 VO,1,wals,2 Prepositions,1,wals,2 Noun-Adjective,1,wals,1 Noun-Relative clause,1,wals,5 Mixed morphological case,1,genus,0121111
Russian,Russian,rus,Slavic,Indo-European,Eurasia,1 SV,0,wals,2 VO,1,wals,2 Prepositions,1,wals,1 Adjective-Noun,0,wals,1 Noun-Relative clause,1,wals,1 Case suffixes,0,wals,0121010
Icelandic,Icelandic,ice,Germanic,Indo-European,Eurasia,1 SV,0,wals,2 VO,1,wals,2 Prepositions,1,wals,1 Adjective-Noun,0,wals,1 Noun-Relative clause,1,wals,1 Case suffixes,0,wals,0121010
Hebrew,Hebrew (Modern),heb,Semitic,Afro-Asiatic,Eurasia,1 SV,0,wals,2 VO,1,wals,2 Prepositions,1,wals,2 Noun-Adjective,1,wals,1 Noun-Relative clause,1,wals,7 Prepositional clitics,0,genus,0121110
Basque,Basque,bsq,Basque,Basque,Eurasia,1 SV,0,wals,1 OV,0,wals,1 Postpositions,0,wals,2 Noun-Adjective,1,wals,2 Relative clause-Noun,0,wals,6 Postpositional clitics,0,macroarea,0020100
